time_us,cs1238_raw
162,449127
1557,449368
3100,449461
4639,449598
6177,449279
7721,449368
9260,449663
10809,449494
12343,449690
13887,449395
15427,449079
16969,448716
18507,448866
20056,449261
21589,449299
23139,448857
24670,448662
26220,449045
27762,449417
29298,449406
30842,449420
32384,449372
33919,449590
35463,450117
37001,449907
38546,449955
40087,449938
41626,449774
43164,449760
44711,449567
46248,449486
47796,449526
49330,449287
50875,449373
52410,449663
53955,450151
55499,450058
57037,449620
58573,449279
60118,449598
61656,449467
63204,449728
64736,449726
66285,449008
67828,449006
69370,449086
70902,449313
72451,448942
73983,448754
75534,448754
77066,448965
78607,448975
80150,448973
81693,449015
83230,448950
84775,448954
86312,449415
87863,449850
89399,449247
90938,449051
92473,449519
94022,449692
95559,449892
97102,450256
98639,450355
100184,450058
101721,450100
103270,449798
104810,449420
106352,449504
107891,449403
109429,448915
110970,449122
112514,449409
114052,449414
115594,449533
117133,449665
118679,449779
120219,449781
121769,449729
123302,450000
124845,450024
126380,449730
127927,449739
129460,449526
131007,449533
132544,449382
134089,449223
135620,449274
137171,448965
138704,448820
140252,448882
141791,448625
143330,448714
144869,448496
146417,448577
147955,448619
149493,448585
151031,448516
152582,448505
154119,448159
155662,448685
157199,448938
158742,448956
160281,448945
161828,449176
163363,449674
164909,449945
166442,449911
167987,449734
169525,449976
171075,449898
172605,449731
174150,449915
175685,449915
177230,449535
178775,449489
180319,449236
181861,448938
183397,448780
184936,448974
186482,448878
188020,449009
189566,449407
191096,449444
192645,449226
194181,449129
195722,449143
197267,448994
198810,448924
200343,449004
201892,449171
203428,448492
204971,448187
206509,448395
208048,448450
209595,448591
211135,448567
212670,448686
214214,449076
215751,449335
217302,449745
218843,450091
220379,450083
221921,450242
223469,450665
225001,450976
226548,450775
228082,450599
229626,450530
231170,450290
232707,450015
234248,449919
235792,449588
237326,449181
238871,448999
240411,448879
241953,448406
243495,448055
245035,447812
246572,447955
248117,448086
249656,447930
251198,448161
252739,448967
254284,449070
255825,449278
257365,449539
258899,449518
260447,449723
261985,449853
263528,450290
265067,450848
266607,450967
268151,450914
269692,451209
271228,450930
272775,451066
274310,450906
275857,450622
277395,450651
278938,450226
280477,450231
282020,449908
283559,449291
285102,449188
286635,449430
288184,449468
289719,449493
291268,449897
292806,449783
294344,449029
295884,449245
297430,449691
298968,449464
300509,448828
302048,448530
303593,448196
305131,448128
306677,447816
308212,447427
309763,447375
311293,447281
312841,447424
314380,447935
315921,448091
317459,448404
319007,448478
320540,448838
322086,449673
323622,449961
325166,450323
326704,450228
328249,449828
329791,449776
331333,450098
332869,450218
334410,450434
335948,450368
337495,450642
339033,450375
340573,450308
342118,450300
343657,450337
345195,450508
346740,450500
348277,450321
349830,450312
351361,450029
352910,449774
354441,449747
355991,449619
357523,449494
359069,448490
360605,448094
362157,448190
363684,448078
365233,447995
366776,447807
368315,447435
369856,447479
371395,447758
372934,448109
374482,448463
376018,448386
377559,448498
379097,448670
380641,448817
382184,448974
383724,449558
385260,449867
386811,450031
388351,449952
389888,449834
391431,450059
392973,450077
394509,450310
396053,450033
397592,449857
399137,450468
400670,450428
402221,450449
403759,450395
405300,450184
406841,450386
408380,450138
409919,450133
411467,449766
413007,449888
414547,449836
416086,449648
417631,449769
419166,449281
420705,448920
422250,448742
423794,448517
425328,448381
426877,448047
428413,447694
429956,447674
431495,447568
433039,447763
434574,447988
436117,448147
437658,448175
439204,448275
440735,448640
442284,449192
443827,449335
445371,449512
446908,450022
448451,450161
449984,450472
451534,450143
453070,450259
454610,449903
456149,449610
457698,449443
459235,449198
460784,449332
462314,449469
463867,449282
465396,449196
466944,449335
468481,449630
470026,449708
471560,449819
473106,449991
474642,449943
476186,449961
477726,450124
479272,450077
480811,449877
482352,449818
483889,449352
485433,448809
486973,448830
488514,448878
490055,448669
491599,448609
493134,448186
494678,447783
496219,447903
497766,448343
499301,448221
500847,448383
502385,448450
503928,448651
505464,449155
507009,449762
508546,449678
510093,449361
511629,449373
513173,449560
514707,450023
516253,450501
517802,450777
519340,450690
520875,450592
522418,450366
523955,450166
525507,450020
527040,449898
528579,449758
530120,449730
531662,449480
533200,449211
534749,449023
536286,448992
537832,448923
539366,449059
540907,449359
542447,449568
543995,449315
545527,449721
547075,450059
548613,449903
550157,449936
551693,449735
553240,450091
554785,450300
556323,449872
557865,449541
559404,449319
560943,449096
562483,449336
564022,449244
565571,449135
567104,449214
568649,449470
570188,449238
571731,449004
573268,449378
574822,449730
576352,449343
577894,449906
579436,449775
580978,449718
582519,449727
584058,449615
585597,449407
587141,449551
588678,449366
590228,449344
591769,448797
593309,448474
594853,448535
596391,448916
597929,448986
599470,449376
601008,449317
602551,449323
604089,449460
605631,450080
607174,450385
608717,450421
610256,450076
611805,450402
613338,450526
614880,450224
616421,450043
617966,449763
619503,449563
621046,449354
622585,449069
624127,448922
625664,448955
627210,448678
628745,448243
630293,448761
631834,448710
633371,448423
634911,448284
636454,448191
637995,448434
639540,448562
641075,448315
642618,448433
644159,448802
645704,448789
647238,448777
648787,448764
650322,449105
651874,449346
653405,449621
654949,449381
656481,448766
658034,448865
659567,449126
661106,449144
662651,449330
664193,449454
665726,449716
667280,449438
668819,449454
670355,449524
671894,449719
673437,449791
674977,449976
676521,449852
678057,449730
679603,450079
681142,450052
682681,449806
684220,449826
685774,449160
687304,448587
688851,448564
690389,448532
691926,448441
693463,448771
695014,448983
696553,448822
698093,448543
699631,448687
701180,448991
702710,449042
704255,448974
705799,449424
707337,449527
708876,449441
710423,449762
711959,449594
713504,449217
715041,449120
716581,449256
718122,449346
719665,449334
721202,449349
722748,449587
724286,449653
725839,449693
727366,449890
728913,449850
730450,450163
731994,450101
733533,450119
735077,450288
736611,450341
738160,450275
739699,450237
741243,450439
742787,450259
744322,450344
745866,450270
747402,450206
748945,449757
750484,449409
752024,449151
753570,449227
755107,449404
756653,449344
758187,449480
759737,449772
761266,449615
762819,449513
764354,449550
765896,449411
767433,449167
768982,449338
770513,449471
772060,449759
773599,449505
775150,449196
776679,448933
778224,449374
779770,449463
781311,449227
782852,449113
784392,448982
785927,448967
787470,449014
789009,449374
790557,449076
792094,448972
793638,448913
795172,449146
796723,449429
798257,449425
799808,449375
801336,449687
802889,449909
804422,449313
805966,449109
807500,449435
809049,449298
810581,449019
812134,448763
813666,448868
815207,448759
816747,448784
818294,448549
819835,448497
821373,448643
822913,448598
824455,448865
825993,448925
827536,448922
829075,448830
830615,448821
832159,448597
833702,448844
835237,449345
836788,449097
838321,449306
839869,449319
841404,449220
842950,449053
844490,448974
846032,448835
847563,449173
849114,449086
850648,448716
852195,448501
853730,448463
855273,448762
856822,449152
858359,448963
859900,449013
861437,448956
862982,449090
864523,449527
866061,449786
867603,449913
869141,449819
870686,449656
872225,449545
873777,449595
875312,449640
876856,449574
878388,449558
879933,449807
881473,449622
883015,449280
884556,448981
886101,449138
887637,449335
889178,449429
890716,449575
892263,449871
893806,449548
895341,449555
896879,449701
898427,449596
899966,449558
901509,449578
903046,449218
904585,448969
906127,449134
907672,448999
909211,448535
910767,448693
912293,448973
913836,448944
915375,448862
916921,449012
918451,448928
920005,449134
921539,449367
923084,449425
924620,449838
926163,450060
927699,449510
929245,449434
930797,450031
932331,450139
933872,449865
935413,449630
936954,449460
938500,449606
940032,449416
941574,448944
943113,448031
944655,449054
946197,450519
947733,450617
949277,449568
950825,448775
952358,449420
953901,450854
955446,451271
956983,450103
958521,449056
960069,448545
961606,450125
963149,451956
964683,451769
966228,450358
967770,449555
969312,450076
970855,450589
972397,450318
973932,448800
975479,447236
977018,447584
978560,449519
980095,450485
981644,449523
983180,447987
984727,447861
986261,449123
987806,449739
989342,448531
990887,447932
992424,448570
993966,449573
995511,450129
997048,450067
998591,449490
1000131,449128
