time_us,cs1238_raw
178,602064
423,601805
1965,601844
3504,601740
5046,601593
6594,601298
8131,600655
9668,600778
11217,600842
12755,600883
14303,600910
15841,600847
17380,600892
18917,601512
20467,601851
22004,601645
23546,601603
25084,601805
26628,601797
28168,602373
29714,602790
31253,602769
32796,602694
34334,602440
35880,602289
37415,602309
38959,601875
40501,601259
42046,601091
43581,601174
45131,601042
46663,601450
48207,601469
49745,601333
51292,601602
52837,601990
54374,601777
55915,601471
57454,601643
58998,601693
60543,601889
62075,602016
63623,601418
65160,601195
66703,601130
68250,600997
69785,600840
71324,600407
72872,600387
74407,600206
75952,600214
77493,600518
79035,600393
80577,600494
82117,600986
83653,600980
85201,601397
86738,601881
88282,601969
89829,601920
91366,602112
92909,602477
94448,602547
95987,602462
97530,602716
99068,602536
100613,602431
102151,602581
103694,602527
105232,602071
106777,601796
108316,601557
109865,601354
111396,601049
112942,601316
114482,601315
116023,601071
117565,601391
119106,601453
120646,601650
122188,602013
123728,601777
125275,601939
126821,602242
128355,602475
129897,603002
131441,603135
132981,602665
134523,602713
136058,602778
137603,602235
139146,601665
140691,601488
142225,601266
143768,601542
145310,601537
146858,601444
148394,601730
149934,601562
151473,601684
153020,602259
154558,602954
156099,603135
157640,603363
159179,603233
160717,603205
162270,603179
163809,603156
165350,603006
166893,602358
168436,602159
169973,602165
171515,601644
173056,601229
174599,601156
176135,601053
177678,600718
179223,600613
180762,601131
182302,601627
183846,601814
185385,601833
186925,601703
188461,601633
190005,602458
191547,602647
193090,602459
194629,602131
196177,602386
197706,602241
199256,601765
200793,601331
202337,600924
203879,601097
205420,600870
206956,601142
208502,601105
210041,600986
211586,600989
213124,601311
214666,601440
216207,601418
217750,601209
219289,601686
220840,602086
222370,601847
223916,602171
225457,602527
227001,602611
228536,602509
230083,602458
231616,602121
233162,601952
234698,601560
236247,601503
237783,600998
239332,600771
240872,600605
242413,600891
243948,601061
245499,600732
247039,600580
248577,600882
250118,601092
251657,601303
253202,601198
254738,600985
256280,601369
257829,601875
259370,601748
260914,601422
262450,601644
263991,601641
265531,600885
267071,600924
268607,601289
270153,601033
271693,600620
273235,600375
274779,600742
276323,601031
277859,600861
279400,600858
280938,601242
282480,601810
284022,601942
285566,601834
287100,601844
288649,601934
290188,601780
291728,601790
293271,602141
294817,602161
296352,602039
297901,601779
299436,601583
300978,601165
302515,600895
304064,600791
305600,600908
307144,600989
308681,601021
310229,600988
311767,600984
313309,601115
314852,601252
316394,601326
317926,601320
319476,601440
321015,601524
322556,601909
324098,601787
325636,601511
327177,601371
328724,600791
330261,601100
331810,601253
333348,601042
334888,601058
336424,601369
337972,601495
339505,601693
341053,601819
342590,601658
344137,601656
345671,602185
347218,602316
348755,601945
350303,602012
351845,601988
353385,601960
354924,601808
356472,601986
358010,602443
359546,602101
361090,601854
362630,601743
364171,601557
365713,601601
367251,601560
368792,601722
370332,601756
371884,601432
373419,601661
374962,601766
376499,601781
378042,602174
379584,602217
381128,602116
382662,602053
384211,602144
385746,602028
387292,601964
388839,601982
390377,601830
391914,601705
393466,601570
394997,601393
396539,601941
398080,601912
399629,601738
401159,601891
402701,601234
404247,601360
405786,601676
407327,601714
408874,602265
410414,602040
411953,602107
413492,602499
415032,602431
416572,602377
418113,602599
419652,602486
421203,602247
422744,602109
424285,602023
425826,601898
427369,601872
428908,601910
430447,601914
431986,602041
433533,601977
435072,601953
436611,601922
438150,602136
439696,602268
441234,602141
442781,602242
444315,602419
445865,602416
447398,602435
448949,602229
450482,601654
452025,601252
453563,601185
455107,600991
456640,600734
458193,600530
459728,600243
461274,600094
462817,599743
464355,599904
465898,600274
467438,599944
468980,600072
470525,600618
472059,600909
473602,600507
475145,600897
476685,602038
478221,602284
479770,602168
481311,602592
482857,602871
484388,602917
485935,603155
487469,603115
489021,602581
490552,602745
492098,602617
493632,602484
495183,602321
496722,602037
498266,602198
499806,601965
501347,601541
502887,601359
504435,601265
505969,601601
507511,601931
509049,601889
510596,601575
